Date,Open,High,Low,Close,Adj Close,Volume
2022-08-12,13384.650391,13565.870117,13341.650391,13565.870117,13565.870117,4755980000
2022-08-15,13529.660156,13685.650391,13524.530273,13667.179688,13667.179688,4445180000
2022-08-16,13617.660156,13720.910156,13508.469727,13635.209961,13635.209961,4992400000
2022-08-17,13499.240234,13591.580078,13389.820313,13470.860352,13470.860352,5166110000
2022-08-18,13474.240234,13553.280273,13405.740234,13505.990234,13505.990234,4663920000
2022-08-19,13370.250000,13402.610352,13210.820313,13242.900391,13242.900391,4591500000
2022-08-22,13056.389648,13073.070313,12859.820313,12890.540039,12890.540039,4242600000
2022-08-23,12885.280273,13000.709961,12852.700195,12881.790039,12881.790039,3815730000
2022-08-24,12876.230469,12995.139648,12843.580078,12917.860352,12917.860352,3896570000
2022-08-25,12984.740234,13146.839844,12951.610352,13143.580078,13143.580078,4290090000
2022-08-26,13129.910156,13175.250000,12603.410156,12605.169922,12605.169922,4510480000
2022-08-29,12488.459961,12594.339844,12440.400391,12484.320313,12484.320313,4183740000
2022-08-30,12562.400391,12572.879883,12240.820313,12342.700195,12342.700195,4630720000
2022-08-31,12448.070313,12502.150391,12268.080078,12272.030273,12272.030273,4911500000
2022-09-01,12158.879883,12290.330078,12012.980469,12274.620117,12274.620117,405310000
2022-09-02,12392.459961,12451.280273,12035.530273,12098.440430,12098.440430,85400000
